Price,Close,High,Low,Open,Volume,Retorno
Ticker,DIS,DIS,DIS,DIS,DIS,
Date,,,,,,
2020-07-28,114.27495574951172,114.92412959385007,112.79955178003324,113.56676064347522,6821100,
2020-07-29,113.71430206298828,114.7962634685298,113.22250074189735,114.31430027506262,9496500,-0.004906181611239235
2020-07-30,113.76348114013672,114.38314808106932,111.511030269345,113.02577918480594,9713500,0.0004324792594796456
2020-07-31,115.02249145507812,115.13068834237129,112.24873239890086,113.33069376754021,9601000,0.011066910948255293
2020-08-03,114.44215393066406,115.19953208822238,113.45855139150186,114.26510517344319,10229200,-0.005045426482008675
2020-08-04,115.36675262451172,116.40936900417178,113.86184181106505,114.05855933407139,17293900,0.008079179411528914
2020-08-05,125.51753234863281,128.17325645075078,121.25853115515613,121.34705929418276,53000200,0.08798704560194381
2020-08-06,128.67491149902344,129.4716272789589,123.55033486484932,124.87819699950607,27238000,0.025154885467480348
2020-08-07,127.79949188232422,129.77654291908047,126.5503272568139,128.08474507074726,16088600,-0.006803343452898791
2020-08-10,126.67816925048828,129.16669757745785,126.38310048434317,127.62243432790534,8529200,-0.008774077387321944
2020-08-11,128.35031127929688,130.58307842038363,127.86834059243482,128.38964878031717,13885700,0.01319992259678271
2020-08-12,129.6289825439453,130.81914831661823,128.3503111462147,128.5273524134999,12204200,0.009962354215612201
2020-08-13,128.81260681152344,130.17981386457623,128.3109598655743,128.497846766333,6468600,-0.006297787087429452
2020-08-14,128.38963317871094,128.93061755565677,127.61259380715826,127.87815567609097,6507600,-0.003283635377641203
2020-08-17,127.24866485595703,128.00604306807864,126.43227288860759,127.966705567455,7492200,-0.008886763631186234
2020-08-18,126.8060531616211,127.46506514297506,126.25523807324078,127.31753074736802,6714600,-0.003478320930415779
2020-08-19,125.6749038696289,128.08473479914514,125.3404825797873,127.13063905391445,7624200,-0.008920309904689505
2020-08-20,126.0191650390625,126.34375571027535,124.45524044842486,124.72081736279631,4918100,0.0027392992461781063
2020-08-21,125.3503189086914,126.20604837588597,125.14376326128954,125.62572643856058,6064700,-0.005307495333457979
2020-08-24,128.5470428466797,128.73392976626158,125.83229721782402,126.04868351424803,7613600,0.025502319944769036
2020-08-25,127.66178131103516,128.9404677574649,127.18965624154515,128.6847364716131,5494400,-0.006886673672457766
2020-08-26,130.01260375976562,130.42573012063443,127.39623186197976,127.86835697764676,8447800,0.01841445751883186
2020-08-27,131.5371856689453,134.12406558843296,130.64211861302465,130.81915989598053,13667600,0.011726416248049043
2020-08-28,133.31748962402344,134.5568385038796,131.38963693537875,132.29454952515263,11020100,0.013534605792455023
2020-08-31,129.7076873779297,133.31750760088568,129.0978584872519,133.03226941257768,11617500,-0.027076734315009787
2020-09-01,131.36013793945312,131.4191516975423,128.74375126787274,129.75686080463157,7351200,0.012739804362625673
2020-09-02,133.16995239257812,133.691260558065,131.07487409935976,131.4388172589409,8187800,0.01377750116218035
2020-09-03,131.0552215576172,134.98963212965342,129.8552251324593,133.0224268436353,12079200,-0.01587993985855618
2020-09-04,129.82569885253906,132.6683094656885,127.29783323365231,131.5568338424413,11248300,-0.009381714749439274
2020-09-08,131.9994659423828,134.8912599882843,128.7142368598433,129.8257126007933,17257300,0.01674373493889525
2020-09-09,131.17323303222656,133.32732495838863,130.09126425378517,132.07814555211237,8891800,-0.0062593655531674175
2020-09-10,131.03553771972656,134.50765364794097,130.56341268080652,131.38963525106269,9853400,-0.0010497211154821828
2020-09-11,129.5896453857422,131.54702000566485,128.94046405347618,131.54702000566485,7165300,-0.011034352658414015
2020-09-14,129.0978546142578,130.75029994919896,128.75358766518534,130.35686487190426,8391900,-0.0037949850855790723
2020-09-15,129.0880126953125,130.36668408893144,128.86177328750682,129.30440647146628,7289100,-7.623611542362241e-05
2020-09-16,129.924072265625,131.42898314062563,129.24538402619618,130.00276227976312,6601000,0.006476663114226344
2020-09-17,128.08473205566406,129.60931909074927,126.49130064289078,128.40932271541135,6723500,-0.01415703939913826
2020-09-18,126.52080535888672,128.64537553676175,126.01915843485403,127.3765348054116,9916300,-0.012210094612195355
2020-09-21,123.3536148071289,124.80934256057772,121.56345073837795,123.9142680304951,10352700,-0.025032962308245033
2020-09-22,125.12408447265625,125.3798232470522,122.65523987254193,123.20606242541722,6978800,0.014352799213023237
2020-09-23,121.25852966308594,125.2126163936562,120.8847633694314,124.98638448940974,8323600,-0.0308937709783208
2020-09-24,120.48148345947266,121.77000800140276,118.79952387089678,119.93066839073458,8480000,-0.006408177682611593
2020-09-25,121.96672058105469,122.1536074736411,118.99624407524338,119.370010356124,6851800,0.012327513564203585
2020-09-28,123.92408752441406,124.77982447450506,123.31425872474911,123.68802500532738,6283700,0.016048369047182653
2020-09-29,123.3437728881836,124.21917863979169,121.65197514215228,123.85524296046876,7405800,-0.004682823556123705
2020-09-30,122.04541015625,123.49130715224761,121.219180085269,121.219180085269,13642500,-0.010526374388682092
2020-10-01,121.28803253173828,123.41261772049484,120.41262683015587,122.89130955037186,8908300,-0.006205703463506573
2020-10-02,120.5405044555664,121.65197271805906,119.69460559940651,119.98968188374376,6490200,-0.006163246781798248
2020-10-05,121.34705352783203,121.57327791981965,120.32410593963489,121.23885664321459,5919200,0.006691104172066309
2020-10-06,118.94706726074219,122.15361396040157,118.63231471689353,121.11099006166515,9052000,-0.019777870144489174
2020-10-07,120.89459991455078,121.28803495354629,118.94706345263667,119.95033480894298,10187800,0.016373103588501525
2020-10-08,121.07164764404297,121.72082900077427,120.4126356638165,121.55361834984387,7404600,0.0014644800480527742
2020-10-09,122.9306640625,123.49131727995949,121.30771816849847,121.8191882511153,11502200,0.015354680097545481
2020-10-12,122.92082214355469,123.87491789745091,121.70115698086,122.85197025947416,10958200,-8.006073196109575e-05
2020-10-13,126.84540557861328,129.20604595808544,125.80278165657722,127.67162821056998,22389000,0.03192773499737278
